iter	Passed	Remaining
0	20	2064
1	34	1780
2	48	1648
3	64	1615
4	81	1614
5	94	1549
6	110	1528
7	135	1625
8	156	1652
9	174	1639
10	191	1619
11	211	1620
12	232	1625
13	251	1614
14	266	1583
15	283	1557
16	299	1530
17	315	1507
18	334	1494
19	356	1498
20	372	1473
21	388	1446
22	404	1424
23	420	1400
24	439	1388
25	454	1363
26	468	1335
27	487	1323
28	502	1300
29	518	1279
30	534	1258
31	553	1245
32	571	1228
33	590	1215
34	609	1200
35	627	1186
36	647	1172
37	666	1157
38	682	1137
39	697	1115
40	712	1094
41	728	1075
42	746	1059
43	764	1042
44	779	1022
45	795	1002
46	813	986
47	836	975
48	851	955
49	866	936
50	885	920
51	899	899
52	918	884
53	938	868
54	956	851
55	984	844
56	1031	850
57	1085	861
58	1108	845
59	1128	827
60	1146	808
61	1161	787
62	1178	766
63	1193	746
64	1211	727
65	1229	707
66	1244	687
67	1260	667
68	1274	646
69	1289	626
70	1305	606
71	1318	586
72	1335	567
73	1359	551
74	1379	533
75	1398	515
76	1418	497
77	1439	479
78	1458	461
79	1480	444
80	1498	425
81	1522	408
82	1541	389
83	1562	371
84	1593	356
85	1621	339
86	1653	323
87	1686	306
88	1720	290
89	1752	272
90	1777	253
91	1807	235
92	1837	217
93	1867	198
94	1910	180
95	1940	161
96	1963	141
97	1988	121
98	2010	101
99	2055	82
100	2072	61
101	2088	40
102	2108	20
103	2131	0
