iter	Passed	Remaining
0	126	37059
1	222	32435
2	315	30583
3	405	29390
4	496	28726
5	592	28450
6	686	28145
7	796	28481
8	959	30384
9	1150	32686
10	1299	33441
11	1430	33608
12	1563	33792
13	1709	34187
14	1828	34003
15	1927	33482
16	2021	32937
17	2116	32456
18	2207	31946
19	2304	31569
20	2398	31183
21	2497	30878
22	2593	30564
23	2686	30228
24	2787	29998
25	2885	29737
26	2978	29455
27	3079	29257
28	3185	29108
29	3319	29213
30	3439	29177
31	3450	28250
32	3619	28630
33	3773	28853
34	3913	28958
35	4035	28921
36	4169	28960
37	4292	28917
38	4412	28849
39	4540	28829
40	4645	28667
41	4742	28452
42	4838	28243
43	4957	28166
44	5087	28151
45	5228	28190
46	5365	28197
47	5488	28128
48	5616	28081
49	5744	28033
50	5868	27960
51	5970	27786
52	6078	27639
53	6192	27523
54	6316	27446
55	6428	27319
56	6548	27229
57	6686	27205
58	6820	27164
59	6953	27118
60	7073	27019
61	7193	26916
62	7310	26804
63	7438	26732
64	7567	26660
65	7700	26601
66	7831	26534
67	7951	26428
68	8060	26284
69	8201	26245
70	8348	26222
71	8507	26230
72	8632	26135
73	8772	26079
74	8782	25645
75	8917	25578
76	9040	25477
77	9173	25402
78	9296	25299
79	9421	25201
80	9527	25054
81	9636	24913
82	9732	24741
83	9833	24584
84	9928	24411
85	10021	24237
86	10125	24091
87	10220	23924
88	10331	23797
89	10428	23638
90	10527	23485
91	10627	23334
92	10731	23193
93	10891	23174
94	11030	23105
95	11164	23026
96	11280	22909
97	11407	22814
98	11514	22679
99	11628	22559
100	11747	22448
101	11882	22367
102	12001	22255
103	12133	22166
104	12241	22035
105	12355	21914
106	12462	21780
107	12574	21655
108	12696	21549
109	12817	21439
110	12980	21400
111	13106	21298
112	13254	21231
113	13389	21141
114	13531	21061
115	13653	20951
116	13770	20832
117	13876	20697
118	13983	20564
119	14083	20421
120	14177	20269
121	14292	20149
122	14388	20003
123	14485	19858
124	14591	19727
125	14688	19584
126	14781	19436
127	14884	19303
128	14975	19154
129	15060	18998
130	15164	18868
131	15257	18725
132	15356	18589
133	15464	18465
134	15571	18340
135	15672	18207
136	15764	18066
137	15857	17925
138	15957	17793
139	16072	17680
140	16177	17553
141	16272	17418
142	16381	17298
143	16487	17174
144	16591	17049
145	16687	16916
146	16776	16776
147	16860	16632
148	16942	16487
149	17025	16344
150	17106	16199
151	17195	16063
152	17278	15923
153	17370	15791
154	17452	15651
155	17537	15514
156	17622	15377
157	17708	15242
158	17796	15110
159	17878	14973
160	17958	14835
161	18046	14704
162	18130	14571
163	18229	14449
164	18351	14347
165	18468	14240
166	18561	14115
167	18649	13986
168	18738	13859
169	18819	13727
170	18903	13597
171	18989	13469
172	19069	13337
173	19150	13207
174	19238	13081
175	19320	12953
176	19408	12829
177	19501	12708
178	19592	12587
179	19776	12525
180	19985	12477
181	20173	12414
182	20289	12306
183	20413	12203
184	20546	12105
185	20676	12005
186	20788	11894
187	20904	11786
188	21006	11670
189	21115	11557
190	21222	11444
191	21333	11333
192	21439	11219
193	21525	11095
194	21618	10975
195	21699	10849
196	21797	10732
197	21883	10610
198	21975	10490
199	22081	10378
200	22165	10255
201	22245	10131
202	22324	10007
203	22406	9885
204	22492	9764
205	22575	9643
206	22664	9525
207	22752	9407
208	22836	9287
209	22923	9169
210	23019	9055
211	23108	8938
212	23231	8834
213	23344	8726
214	23448	8615
215	23538	8499
216	23632	8385
217	23734	8274
218	23833	8162
219	23929	8048
220	24026	7936
221	24131	7826
222	24225	7712
223	24313	7597
224	24394	7481
225	24478	7365
226	24565	7250
227	24665	7139
228	24760	7028
229	24860	6917
230	24957	6806
231	25050	6694
232	25147	6583
233	25241	6472
234	25340	6362
235	25424	6248
236	25518	6137
237	25613	6026
238	25700	5914
239	25785	5801
240	25869	5689
241	25957	5577
242	26041	5465
243	26125	5353
244	26210	5242
245	26295	5130
246	26380	5019
247	26461	4908
248	26546	4797
249	26630	4686
250	26717	4577
251	26801	4466
252	26882	4356
253	26963	4246
254	27048	4136
255	27129	4026
256	27214	3918
257	27298	3809
258	27382	3700
259	27481	3593
260	27568	3485
261	27663	3378
262	27756	3271
263	27850	3164
264	27949	3058
265	28044	2952
266	28140	2845
267	28250	2740
268	28350	2634
269	28437	2527
270	28558	2423
271	28665	2318
272	28755	2211
273	28855	2106
274	28946	1999
275	29038	1893
276	29124	1787
277	29203	1680
278	29287	1574
279	29371	1468
280	29453	1362
281	29542	1257
282	29625	1151
283	29711	1046
284	29795	940
285	29878	835
286	29964	730
287	30047	625
288	30130	521
289	30218	416
290	30314	312
291	30409	208
292	30488	104
293	30573	0
